H (A/m)	        M (A/m)	        I (A)	        B (T)
987,2497585	214667,6981	1,036591515	0,271
992,4114406	214662,5364	1,042011172	0,271
1000,152606	214654,7953	1,050139234	0,271
979,5058778	214675,442	1,028460602	0,271
991,1189836	214663,8289	1,04065412	0,271
983,3778181	214671,5701	1,032526059	0,271
912,3985804	211559,4504	0,957999349	0,267
882,7155145	206814,4852	0,926832754	0,261
889,1696535	206012,2564	0,933609464	0,26
894,3313356	206007,0947	0,939029122	0,26
849,1632234	202869,1639	0,891603553	0,256
838,8398593	202879,4873	0,880764237	0,256
829,8062369	201296,9715	0,871279123	0,254
809,1567934	200521,8462	0,849597641	0,253
797,5409723	198941,9126	0,837401273	0,251
769,1503633	196582,9791	0,80759173	0,248
756,2448005	194208,5605	0,79404116	0,245
740,7597543	193428,2708	0,777782186	0,244
723,9822512	191057,7242	0,76016616	0,241
722,6925094	191059,0139	0,758811959	0,241
681,3963377	188712,9859	0,715451846	0,238
674,9421987	187127,8906	0,708675135	0,236
669,7805166	186337,2776	0,703255477	0,235
656,8749538	185554,4085	0,689704907	0,234
597,2074297	182430,9771	0,62705526	0,23
580,435357	176081,5515	0,609444936	0,222
571,8524654	176090,1344	0,60043308	0,222
553,5191264	175312,693	0,581183459	0,221
536,3560584	172942,5319	0,563162598	0,218
514,1209114	170577,4429	0,539816161	0,215
508,2722722	168195,9674	0,533675212	0,212
499,6893805	168204,5503	0,524663356	0,212
471,2145989	165845,7009	0,494765434	0,209
462,2407119	163467,3507	0,485343041	0,206
463,0227026	162670,794	0,486164114	0,205
446,2479147	162687,5688	0,468550939	0,205
432,9866548	160313,5059	0,454626895	0,202
419,3343994	157939,834	0,440292314	0,199
407,6316905	155564,2125	0,428004715	0,196
386,5668144	153993,728	0,405887037	0,194
379,545189	153204,9749	0,398514478	0,193
357,7010374	151635,2696	0,375578578	0,191
348,3388702	150053,0824	0,365748499	0,189
339,7586938	147674,3384	0,356739494	0,186
321,813635	146100,734	0,337897559	0,184
306,6001134	143728,6234	0,321923681	0,181
294,1181289	142149,5559	0,308817859	0,179
290,9983116	141356,901	0,305542116	0,178
260,9622638	137408,0635	0,274004897	0,173
230,1469404	134255,78	0,241649454	0,169
212,2018816	130294,8515	0,222807519	0,164
200,1108925	127919,6183	0,210112235	0,161
199,3289017	126328,8509	0,209291161	0,159
185,2612138	126342,9185	0,194520384	0,159
157,7666359	122391,5395	0,165651655	0,154
124,105735	115263,228	0,130308416	0,145
120,5107497	113675,2736	0,126533756	0,143
119,6092881	112880,4003	0,125587241	0,142
122,4358589	112877,5737	0,128555081	0,142
118,9684901	112881,0411	0,124914416	0,142
119,4816716	112880,5279	0,125453246	0,142
119,4816716	112880,5279	0,125453246	0,142
119,354055	112880,6555	0,125319251	0,142
118,8381583	112881,1714	0,124777571	0,142
119,354055	112880,6555	0,125319251	0,142
118,7105418	112881,2991	0,124643576	0,142
118,4525934	112881,557	0,124372736	0,142
120,1251848	112084,1097	0,126128921	0,141
120,3804179	112083,8545	0,126396911	0,141
119,0961067	112880,9135	0,125048411	0,142
118,4525934	112085,7823	0,124372736	0,141
119,2237232	112880,7859	0,125182406	0,142
117,5538471	112086,681	0,123429071	0,141
118,4525934	112881,557	0,124372736	0,142
120,3804179	112879,6292	0,126396911	0,142
118,7105418	112881,2991	0,124643576	0,142
119,0961067	112085,1388	0,125048411	0,141
117,4262306	112086,8086	0,123295076	0,141
118,4525934	112085,7823	0,124372736	0,141
-20,91553759	89147,68367	-0,021960875	0,112
-119,0961067	66168,39749	-0,125048411	0,083
-117,5538471	66166,85523	-0,123429071	0,083
-118,4525934	65371,97926	-0,124372736	0,082
-118,9684901	65372,49516	-0,124914416	0,082
-118,3249769	65371,85164	-0,124238741	0,082
-119,994853	65373,52152	-0,125992076	0,082
-119,4816716	65373,00834	-0,125453246	0,082
-118,9684901	65372,49516	-0,124914416	0,082
-119,7396199	65373,26629	-0,125724086	0,082
-118,1973604	65371,72403	-0,124104746	0,082
-117,939412	65371,46608	-0,123833906	0,082
-120,7659828	65374,29265	-0,126801746	0,082
-120,2528013	65373,77947	-0,126262916	0,082
-119,7396199	65373,26629	-0,125724086	0,082
-119,0961067	65372,62277	-0,125048411	0,082
